mountain_id,mountain_name,height,primary_country,proposed_additional_country,distance_to_boundary_meters,boundary_source,boundary_feature_ids,evidence_type,supporting_external_reference,classification_reason,existing_membership_status
87,"Wettersteinwand",2482,AT,DE,0,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:87","Near-border (0m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
4,"Zugspitzeck",2815,AT,DE,1,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:4","Near-border (1m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
65,"Oberreintalschrofen",2523,AT,DE,1,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:65","Near-border (1m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
138,"Westliche Karwendelspitze",2385,AT,DE,1,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:138","Near-border (1m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
264,"Mittlere Linderspitze",2239,AT,DE,1,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:264","Near-border (1m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
6,"",2782,AT,DE,3,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:6","Near-border (3m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
21,"Östliche Plattspitze",2680,AT,DE,3,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:21","Near-border (3m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
129,"Rotplattenspitze",2399,AT,DE,3,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:129","Near-border (3m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
307,"Große Arnspitze",2196,AT,DE,4,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:307","Near-border (4m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
37,"Partenkirchner Dreitorspitze, Mittelgipfel",2622,AT,DE,5,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:37","Near-border (5m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
