osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
27384190,Zugspitze,Zugspitze,2962,47.421215,10.986297,Q3375,de:Zugspitze,bayern-260721
256042768,Schneefernerkopf,,2874,47.4095968,10.9699595,Q679080,de:Schneefernerkopf,bayern-260721
12806819227,,,2836,47.4118778,10.9684542,,,bayern-260721
323896644,Zugspitzeck,,2815,47.4175695,10.9723451,Q86980310,de:Zugspitzeck,bayern-260721
6550931824,,,2794,47.4053767,10.9697023,,,bayern-260721
12488618087,,,2782,47.4165622,10.9710116,,,bayern-260721
6550931823,Nördliche Wetterspitze,,2746,47.4039535,10.9696493,,,bayern-260721
256042854,Südliche Wetterspitze,,2746,47.4007961,10.9703511,Q470068,de:Wetterspitzen,bayern-260721
2061799676,Hochwanner,,2744,47.3959556,11.0553604,Q255743,de:Hochwanner,bayern-260721
508503691,Innere Höllentalspitze,,2741,47.4184937,11.0105717,Q265375,,bayern-260721
508503689,Mittlere Höllentalspitze,,2740,47.4206907,11.0198273,,,bayern-260721
1621410410,Kaltwasserkarspitze,,2733,47.4030333,11.4506396,Q624393,de:Kaltwasserkarspitze,bayern-260721
508503693,Äußere Höllentalspitze,,2715,47.4209398,11.027893,,,bayern-260721
364134323,Watzmann-Mittelspitze,,2713,47.5543889,12.9220342,Q31306014,de:Watzmann,bayern-260721
475537031,Watzmann-Südspitze,,2712,47.5480306,12.9169564,Q31354390,,bayern-260721
12817211594,Östliche Wetterspitze,,2709,47.3996786,10.9715651,,,bayern-260721
1833449075,Hochblassen,,2706,47.4223964,11.0444402,Q870721,,bayern-260721
983927681,Wetterwandeck,,2698,47.3981048,10.9771855,Q2566084,de:Wetterwandeck,bayern-260721
256041673,Leutascher Dreitorspitze,,2682,47.4004814,11.1239474,Q585796,de:Dreitorspitze,bayern-260721
323258238,Mittlere Plattspitze,,2680,47.3958052,10.9903473,Q830583,de:Plattspitzen,bayern-260721
508530564,Östliche Plattspitze,,2680,47.3964573,10.9926825,Q830583,de:Plattspitzen,bayern-260721
5928695276,Westliche Plattspitze,,2676,47.3956975,10.9881534,,,bayern-260721
256041782,Hinterreintalschrofen,,2670,47.3961111,11.0758333,Q515359,de:Hinterreintalschrofen,bayern-260721
1617864235,Grubenkarspitze,,2663,47.3807753,11.5221099,Q453696,de:Grubenkarspitze,bayern-260721
307562003,Hocheck,,2651,47.558423,12.9237899,Q31354005,,bayern-260721
256041952,Hohes Licht,,2651,47.2801709,10.2760287,Q524774,de:Hohes Licht,bayern-260721
256041781,Hochfrottspitze,,2649,47.2969091,10.2930007,Q315335,de:Hochfrottspitze,bayern-260721
11926109175,Teufelsgrat,,2648,47.3958358,11.0837236,Q9357673,,bayern-260721
256041922,Mädelegabel,,2644,47.2999249,10.2956802,Q186077,de:Mädelegabel,bayern-260721
472565283,"Partenkirchner Dreitorspitze, Westgipfel",,2633,47.4063481,11.1225566,,,bayern-260721
508503694,Vollkarspitze,,2630,47.4217228,11.034696,Q885103,,bayern-260721
259486622,Alpspitze,,2628,47.4294968,11.0478118,Q252743,,bayern-260721
1833449062,Blassenkopf,,2628,47.4209691,11.0495134,,,bayern-260721
3634965711,"Partenkirchner Dreitorspitze, Nordostgipfel",,2626,47.4091248,11.1256736,,,bayern-260721
508489623,Große Riffelwandspitze,,2625,47.4282738,10.9924798,Q31555666,,bayern-260721
12817321074,,,2625,47.4266791,10.9907164,,,bayern-260721
3634965710,"Partenkirchner Dreitorspitze, Mittelgipfel",,2622,47.4081217,11.1239416,,,bayern-260721
530735152,Steinschartenkopf,,2615,47.284615,10.2802909,Q261126,de:Steinschartenkopf,bayern-260721
